;BMAF ;Plafond ressources CF APJE (1 enfant);Plafond ressources CF APJE (2 enfants);Plafond ressources CF APJE (3 enfants);Plafond ressources CF APJE (4 enfants);Plafond ressources CF APJE (enfant suppl);Majoration plafond ressources CF et APJE;Plafond ressources ARS (1 enfant);Plafond ressources ARS (2 enfants);Plafond ressources ARS (3 enfants);Plafond ressources ARS (4 enfants);Plafond ressources ARS (enfant suppl)
1930;0;0;0;0;0;0;0;0;0;0;0;0
1931;0;0;0;0;0;0;0;0;0;0;0;0
1932;0;0;0;0;0;0;0;0;0;0;0;0
1933;0;0;0;0;0;0;0;0;0;0;0;0
1934;0;0;0;0;0;0;0;0;0;0;0;0
1935;0;0;0;0;0;0;0;0;0;0;0;0
1936;0;0;0;0;0;0;0;0;0;0;0;0
1937;0;0;0;0;0;0;0;0;0;0;0;0
1938;0;0;0;0;0;0;0;0;0;0;0;0
1939;0;0;0;0;0;0;0;0;0;0;0;0
1940;0;0;0;0;0;0;0;0;0;0;0;0
1941;0;0;0;0;0;0;0;0;0;0;0;0
1942;0;0;0;0;0;0;0;0;0;0;0;0
1943;0;0;0;0;0;0;0;0;0;0;0;0
1944;0;0;0;0;0;0;0;0;0;0;0;0
1945;0;0;0;0;0;0;0;0;0;0;0;0
1946;0;0;0;0;0;0;0;0;0;0;0;0
1947;0;0;0;0;0;0;0;0;0;0;0;0
1948;0;0;0;0;0;0;0;0;0;0;0;0
1949;0;0;0;0;0;0;0;0;0;0;0;0
1950;0;0;0;0;0;0;0;0;0;0;0;0
1951;0;0;0;0;0;0;0;0;0;0;0;0
1952;0;0;0;0;0;0;0;0;0;0;0;0
1953;0;0;0;0;0;0;0;0;0;0;0;0
1954;0;0;0;0;0;0;0;0;0;0;0;0
1955;0;0;0;0;0;0;0;0;0;0;0;0
1956;0;0;0;0;0;0;0;0;0;0;0;0
1957;0;0;0;0;0;0;0;0;0;0;0;0
1958;0;0;0;0;0;0;0;0;0;0;0;0
1959;0;0;0;0;0;0;0;0;0;0;0;0
1960;0;0;0;0;0;0;0;0;0;0;0;0
1961;0;0;0;0;0;0;0;0;0;0;0;0
1962;0;0;0;0;0;0;0;0;0;0;0;0
1963;0;0;0;0;0;0;0;0;0;0;0;0
1964;0;0;0;0;0;0;0;0;0;0;0;0
1965;0;0;0;0;0;0;0;0;0;0;0;0
1966;0;0;0;0;0;0;0;0;0;0;0;0
1967;0;0;0;0;0;0;0;0;0;0;0;0
1968;0;0;0;0;0;0;0;0;0;0;0;0
1969;0;0;0;0;0;0;0;0;0;0;0;0
1970;0;0;0;0;0;0;0;0;0;0;0;0
1971;0;0;0;0;0;0;0;0;0;0;0;0
1972;64.61;2898;3477;4057;4636;580;509;2199;2638;3078;3518;440
1973;71.24;3136;3763;4390;5018;627;551;2380;2856;3332;3808;476
1974;77.9;3556;4267;4979;5690;711;625;2699;3238;3778;4318;540
1975;90.3;4226;5071;5916;6761;845;742;3207;3848;4489;5131;641
1976;99.52;4970;5964;6958;7952;994;873;3771;4525;5280;6034;754
1977;110.55;5761;6914;8066;9218;1152;1012;4372;5246;6121;6995;874
1978;126.1;6404;7684;8965;10246;1281;1125;4859;5831;6803;7775;972
